day,price,n,frac_zero,vol_1s_bp,vol_ann,skew,ex_kurt,min_bp,max_bp
2023-05-16,mid,43811,0.7500855949419095,0.5679550952418346,0.31894610546766655,0.10701578658939047,57.81944252212852,-11.16717448596205,15.19571706714018
2023-05-16,swmid,43811,0.18623176827737326,0.5678509992030496,0.3188876483353277,0.10021509395385027,57.42669663056771,-11.15668892483157,15.130743365219246
2023-06-14,mid,86398,0.7471353503553323,0.7850835575441389,0.4408787688378499,-2.17323823603606,90.17476691875996,-25.950199045965405,16.289747607522997
2023-06-14,swmid,86398,9.259473598925901e-05,0.7842327048335876,0.44040095613640484,-2.198571406309518,89.32734262689645,-25.711912864228026,16.101199316995718
2023-07-13,mid,86398,0.693025301511609,0.7939565137457378,0.44586154801915134,-0.4181504176782881,72.80536643196939,-25.750520789813436,18.287512903238934
2023-07-13,swmid,86398,2.3148683997314753e-05,0.7939780065475053,0.4458736177152889,-0.41487325958852916,72.6488761643291,-25.70226505186568,18.299009747355655
2023-08-11,mid,86398,0.9054144771869719,0.2490972232072976,0.13988533581329787,-1.0313073696334725,175.68583456533366,-11.192860978397334,8.0301857793863
2023-08-11,swmid,86398,0.00018518947197851803,0.24938668259771382,0.14004788730026885,-1.176865729258469,185.21059855513093,-11.839323519424738,8.05854528618255
2023-09-09,mid,86398,0.9527072385934859,0.18537811124192527,0.10410264317531705,3.668624215743053,749.1454787934721,-12.37826503993844,12.315855850690838
2023-09-09,swmid,86398,0.0008333526239033311,0.18552155825185385,0.10418319860221786,3.6367479172388215,746.0453640122632,-12.411873187545552,12.268096585081878
2023-10-08,mid,86398,0.8188846964050094,0.32807342961872377,0.18423594323026174,-0.5149325846940637,150.49238138112418,-17.311885769597524,10.812882704378524
2023-10-08,swmid,86398,6.944605199194426e-05,0.32820365085814907,0.18430907147140585,-0.5284182442100088,150.40940567001888,-17.33265562988251,10.784458300108213
2023-11-06,mid,86399,0.717693491822822,0.48626362809087736,0.27307069116815513,-0.3258606757682272,22.495183025093564,-11.609869692215113,8.9458907410922
2023-11-06,swmid,86399,5.787104017407609e-05,0.4867800833247819,0.2733607165361503,-0.3327225045751622,22.484400713053592,-11.612207381119788,8.827431839808497
2023-12-05,mid,86398,0.5769230769230769,1.0261778038870126,0.5762698790962753,2.6145476330534514,111.45160965295355,-22.822906174564395,45.60657959494563
2023-12-05,swmid,86398,1.1574341998657377e-05,1.0261909210346964,0.576277245282799,2.601421668168474,110.19881097667937,-22.49886577542881,45.233165734615
2024-01-03,mid,86398,0.5082872288710387,1.521464386144057,0.8544075836871851,0.6277927216781037,172.0097963715522,-44.97637440659119,60.52476300538956
2024-01-03,swmid,86398,0.009560406490890993,1.5172782741034891,0.8520567919721782,0.6494910391953509,169.67667209935613,-44.98600371318773,61.11685473856099
2024-02-01,mid,86398,0.6424801500034723,0.691188226748649,0.38815004022935284,0.8080831996232404,47.83195008637162,-17.92397599901463,20.855089073226196
2024-02-01,swmid,86398,3.472302599597213e-05,0.6914890862539501,0.3883189936700608,0.7752221807488799,47.20342679231983,-17.88518771935088,20.83913914514568
2024-03-01,mid,86398,0.5515636936040186,0.8071470234730439,0.4532689324090498,0.19997602058248204,18.78773980586001,-12.84651860526509,17.092010527299806
2024-03-01,swmid,86398,1.1574341998657377e-05,0.8075024025720037,0.4534685023759845,0.19193721083376553,18.66126964850398,-12.932910607368342,17.069733766490458
2024-03-30,mid,86398,0.7955508229357161,0.35268112757002346,0.1980548692190317,0.6092952428748992,36.33683340843977,-6.820175453174926,8.224696893357475
2024-03-30,swmid,86398,5.787170999328688e-05,0.35274368635277165,0.19809000030648474,0.6096078183053377,36.356009616709116,-6.883442537741757,8.20962243091472
POOLED,mid,994190,0.7204276848489726,0.7499803313559573,0.42116587713942455,0.8479702318250341,315.5529383653844,-44.97637440659119,60.52476300538956
POOLED,swmid,994190,0.009157203351472052,0.7492711250374083,0.4207676086932581,0.8539935709658327,309.9509956400122,-44.98600371318773,61.11685473856099
