day,horizon,series,n,zero,vol_bp,skew,ex_kurt
2024-03-01,1m,archive/mid,86339,0.0036020801723439,7.6631257977981075,-0.26053100312513205,2.267541256038758
2024-03-01,1m,archive/swmid,86339,0.0,7.663441422033395,-0.2604080374830462,2.266455407781156
2024-03-01,1m,spot_kline/close,86340,0.0037873523280055593,7.55254429653638,-0.298152805663107,2.2686995292938166
2024-03-01,1m,tardis/mid,86339,0.0036020801723439,7.662177349872268,-0.26122063378720767,2.266652935149068
2024-03-01,1m,tardis/swmid,86339,0.0,7.662500570923739,-0.2611121898130468,2.265549098451145
2024-03-01,1s,archive/mid,86398,0.5515636936040186,0.8071470234730439,0.19997602058248204,18.78773980586001
2024-03-01,1s,archive/swmid,86398,1.1574341998657377e-05,0.8075024025720037,0.19193721083376553,18.66126964850398
2024-03-01,1s,spot_kline/close,86399,0.3646222757207838,0.7281898289641967,-0.11605320456252226,24.318250531692648
2024-03-01,1s,tardis/mid,86398,0.5516215653140119,0.8063734304322184,0.16422794902890023,17.713542268777992
2024-03-01,1s,tardis/swmid,86398,1.1574341998657377e-05,0.8069342797984081,0.16979897113257045,18.011997956168962
2025-07-01,1m,hft/mid,86340,0.02925642807505212,3.7040320436372776,-0.23895357469463904,3.7310122764444964
2025-07-01,1m,hft/swmid,86340,0.0,3.704152705464789,-0.23898020940500003,3.731616599727178
2025-07-01,1m,spot_kline/close,86340,0.044394255269863334,3.5721762483724944,-0.2494929462597069,4.091519230065392
2025-07-01,1m,tardis/mid,86339,0.029222020176281865,3.7045352249787316,-0.23835069214164137,3.730491205411681
2025-07-01,1m,tardis/swmid,86339,0.0,3.704592538867791,-0.23831870104408953,3.7303753883522095
2025-07-01,1s,hft/mid,86399,0.8235859211333465,0.37852339177993377,-0.0974669920983358,44.066377112972916
2025-07-01,1s,hft/swmid,86399,0.0001967615365918587,0.37894961588824233,-0.10236230814370342,44.12677194672913
2025-07-01,1s,spot_kline/close,86399,0.5047975092304309,0.3350455783460845,-0.5220654878289896,72.3944371719985
2025-07-01,1s,tardis/mid,86398,0.8235144332044724,0.3789844899240162,-0.03389668225368783,43.62406844590034
2025-07-01,1s,tardis/swmid,86398,0.0001967638139771754,0.37928950937694034,-0.026067613814142333,43.68900671515126
2025-08-01,1m,hft/mid,86340,0.007702107945332407,6.724118216454763,-0.09695054138415976,4.116677045539062
2025-08-01,1m,hft/swmid,86340,0.0,6.724293996492651,-0.09731257434476122,4.116127394221077
2025-08-01,1m,spot_kline/close,86340,0.006578642575862868,6.644425263801857,-0.07661070821434232,4.25936252725926
2025-08-01,1m,tardis/mid,86339,0.007690614901724597,6.724416094140366,-0.09660286950132327,4.120565707797624
2025-08-01,1m,tardis/swmid,86339,0.0,6.72477386670022,-0.09640844565162585,4.121455579501557
2025-08-01,1s,hft/mid,86399,0.6143705366960266,0.694068858814749,-0.350417875665587,21.755794046918606
2025-08-01,1s,hft/swmid,86399,0.00033565203300964133,0.6952544670319484,-0.3261067008364174,20.841329168235536
2025-08-01,1s,spot_kline/close,86399,0.42056042315304576,0.6461133936857442,-0.4013224020771631,25.895839386702065
2025-08-01,1s,tardis/mid,86398,0.6150373851246557,0.6948601713776846,-0.291417633854352,20.10720238045087
2025-08-01,1s,tardis/swmid,86398,0.0,0.6963578735377601,-0.31521543907351884,21.105558824882017
2025-09-01,1m,hft/mid,86340,0.008976140838545286,5.121451413244681,0.12369137069334378,1.9734509954494595
2025-09-01,1m,hft/swmid,86340,0.0,5.1215535608371106,0.12369534112693154,1.9725082335899176
2025-09-01,1m,spot_kline/close,86340,0.008675005791058605,5.010830445699973,0.10662628657384884,2.0354053020459055
2025-09-01,1m,tardis/mid,86339,0.008964662551106685,5.121968060084805,0.12400843640924568,1.977517592135582
2025-09-01,1m,tardis/swmid,86339,0.0,5.122091459305954,0.12399512639010328,1.976454614100124
2025-09-01,1s,hft/mid,86399,0.6972534404333384,0.5313249349184378,0.1880989372975717,14.792660567196034
2025-09-01,1s,hft/swmid,86399,0.0001273162883829674,0.531856111935825,0.18686091365588553,14.907040843395123
2025-09-01,1s,spot_kline/close,86399,0.43522494473315665,0.48073051207253475,0.2586948069860012,23.40070174380888
2025-09-01,1s,tardis/mid,86398,0.6973078080511123,0.5303995928512568,0.22608360415528034,14.473423569019637
2025-09-01,1s,tardis/swmid,86398,0.0,0.5307820353106483,0.21789659126202154,14.597363178354232
2025-10-01,1m,hft/mid,86340,0.02189020152883947,4.283911096648243,0.7401651412742404,6.844006458653606
2025-10-01,1m,hft/swmid,86340,0.0,4.283858745692444,0.7395097835129965,6.837827059146129
2025-10-01,1m,spot_kline/close,86340,0.028202455408848737,4.1348798460359,0.7156725101305698,6.6079383644139735
2025-10-01,1m,tardis/mid,86339,0.021786214804433685,4.2852483901438925,0.740526254761069,6.852794303823828
2025-10-01,1m,tardis/swmid,86339,0.0,4.2854771284071465,0.7408437049929006,6.860142681773944
2025-10-01,1s,hft/mid,86399,0.7605527841757428,0.4544626984035881,0.7589396407116561,36.61641796844532
2025-10-01,1s,hft/swmid,86399,0.00047454252942742394,0.4547821016081621,0.7592409696671806,37.00976819745184
2025-10-01,1s,spot_kline/close,86399,0.48080417597425895,0.41964438039398305,0.42484402687150674,42.74773856532027
2025-10-01,1s,tardis/mid,86398,0.7604921410217829,0.4546044052080659,0.6934125854205142,38.15414254057277
2025-10-01,1s,tardis/swmid,86398,1.1574341998657377e-05,0.45492560671428445,0.693143326228122,38.25765950577959
2025-11-01,1m,hft/mid,86340,0.0811095668288163,2.6861701902755284,-0.008747014029323086,3.7999919522555166
2025-11-01,1m,hft/swmid,86340,0.0,2.686298698482323,-0.008829768900190757,3.7987717436984036
2025-11-01,1m,spot_kline/close,86340,0.0864141765114663,2.5788779763523353,0.0319283417172852,4.305011241353603
2025-11-01,1m,tardis/mid,86339,0.08114525301428091,2.686242462616602,-0.007697981091596106,3.8018256136645325
2025-11-01,1m,tardis/swmid,86339,0.0,2.6863467138649053,-0.007766304206637076,3.800534716792547
2025-11-01,1s,hft/mid,86399,0.8890959386104006,0.26300549178919763,0.7456274107347584,84.65106613703193
2025-11-01,1s,hft/swmid,86399,0.00079862035440225,0.2632258708704723,0.7380016030721522,84.67535562800086
2025-11-01,1s,spot_kline/close,86399,0.5353765668584127,0.23263152360219846,0.6048035680534509,116.49076733892153
2025-11-01,1s,tardis/mid,86398,0.8894650339128221,0.26365289110946305,0.7932655128245167,86.3683677959757
2025-11-01,1s,tardis/swmid,86398,0.0009375217018912475,0.26383858655332343,0.8064693436334691,86.72440611905844
2025-12-01,1m,hft/mid,86340,0.0021426916840398425,8.828700939148494,0.05179193474241399,3.521709198379689
2025-12-01,1m,hft/swmid,86340,0.0,8.828453743397912,0.05248818216617019,3.515613959905802
2025-12-01,1m,spot_kline/close,86340,0.002177438035672921,8.762341053521489,0.06724590740221621,3.3313415399717545
2025-12-01,1m,tardis/mid,86340,0.0021426916840398425,8.822743334566795,0.05562484173566715,3.4927847831876653
2025-12-01,1m,tardis/swmid,86340,0.0,8.822584223455,0.05553401654911798,3.491969817723552
2025-12-01,1s,hft/mid,86399,0.5237329135753886,1.0098576986729408,-0.43116014677677866,30.08795561483118
2025-12-01,1s,hft/swmid,86399,0.00010416787231333695,1.0114370731842504,-0.4204328366606431,30.097323475563464
2025-12-01,1s,spot_kline/close,86399,0.35590689707056794,0.9788455319347065,-0.45095237048270825,29.386497709125642
2025-12-01,1s,tardis/mid,86399,0.5241611592726768,1.0104833697825935,-0.43346427942552396,30.35381834605456
2025-12-01,1s,tardis/swmid,86399,1.1574208034815218e-05,1.012466165090737,-0.46956502934205663,31.709478126917354
2026-01-01,1m,hft/mid,86340,0.14445216585591847,2.335052248041474,0.5100001521075109,8.074831601094468
2026-01-01,1m,hft/swmid,86340,0.0,2.3349020539350516,0.5103661071456486,8.081476106253815
2026-01-01,1m,spot_kline/close,86340,0.16643502432244614,2.271679833511534,0.4446558938006441,8.306014732738484
2026-01-01,1m,tardis/mid,86339,0.1445001679426447,2.3347311893428184,0.5089217412885803,8.055253900185516
2026-01-01,1m,tardis/swmid,86339,0.0,2.3346290432600307,0.5092740239344611,8.059791888926048
2026-01-01,1s,hft/mid,86399,0.9153578166413963,0.24188042647168842,-0.603383049598314,119.70543759770882
2026-01-01,1s,hft/swmid,86399,0.002766235720320837,0.24202392969036696,-0.5929964669205023,120.71033578629388
2026-01-01,1s,spot_kline/close,86399,0.556904593803169,0.2247431133615152,-0.18189284174965212,170.44792682051263
2026-01-01,1s,tardis/mid,86398,0.9155420264357971,0.2412529219822011,-0.6287125208730532,120.44522485434433
2026-01-01,1s,tardis/swmid,86398,0.0028704368156670292,0.24163948370609814,-0.5421558211679799,123.93320815949536
